RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,PROPERTY_TYPE,PROPERTY_SUBTYPE,PROPERTY_DESCRIPTION,PROJECT_NAME,BUILDING_NAME,TOWER_NAME,FLAT_NUMBER,FLOOR_NUMBER,PLOT_NUMBER,SURVEY_NUMBER,CTS_NUMBER,KHATA_NUMBER,MUNICIPAL_PROPERTY_ID,PROPERTY_TAX_NUMBER,REGISTRATION_NUMBER,SALE_DEED_NUMBER,REGISTRATION_DATE,REGISTRAR_OFFICE,OCCUPANCY_STATUS,CONSTRUCTION_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,LOCALITY,LANDMARK,CITY,DISTRICT,STATE,PINCODE,COUNTRY,LATITUDE,LONGITUDE,BUILT_UP_AREA,LAND_AREA,AREA_UNIT,NUMBER_OF_FLOORS,YEAR_OF_CONSTRUCTION,PROPERTY_AGE_YEARS
PROPERTY,ABC-COL-0011,RESIDENTIAL,VILLA,Independent villa with boundary wall,Adani Western Heights,,,,,Plot 11,,,,PID-TS-2021-88011,PT-TS-9900011,REG/2021/100011,SD/2021/50011,2021-03-04,Sub-Registrar Gachibowli Hyderabad,VACANT,UNDER_CONSTRUCTION,"21, Gachibowli Main Road",Near Gachibowli Market,Gachibowli,Opposite Gachibowli Bus Stand,Hyderabad,Hyderabad,TS,500032,IN,17.441100,78.349900,1114.81,3950.75,SQM,,2016,10
PROPERTY,ABC-COL-0012,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Raheja Viva,Tower C,Block 1,112,13,,,,,PID-TS-2022-88012,PT-TS-9900012,REG/2021/100012,SD/2021/50012,2021-04-29,Sub-Registrar Secunderabad Secunderabad,RENTED,COMPLETED,"22, Secunderabad Main Road",,Secunderabad,,Secunderabad,Hyderabad,TS,500003,IN,17.441900,78.500300,1359.48,2253.34,SQFT,17,2017,9
PROPERTY,ABC-COL-0013,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,Oberoi Springs,Tower D,Block 2,113,14,,,,,PID-DL-2023-88013,PT-DL-9900013,REG/2022/100013,SD/2022/50013,2022-09-03,Sub-Registrar Connaught Place New Delhi,VACANT,PLOT_ONLY,"23, Connaught Place Main Road",Near Connaught Place Market,Connaught Place,Opposite Connaught Place Bus Stand,New Delhi,New Delhi,DL,110001,IN,28.634500,77.219700,2732.25,2442.12,SQM,18,2018,8
PROPERTY,ABC-COL-0014,INDUSTRIAL,FACTORY,Manufacturing unit in industrial estate,,,,,,Plot 14,,,,PID-DL-2024-88014,PT-DL-9900014,REG/2017/100014,SD/2017/50014,2017-05-23,Sub-Registrar Saket New Delhi,UNDER_CONSTRUCTION,UNDER_CONSTRUCTION,"24, Saket Main Road",Near Saket Market,Saket,,New Delhi,South Delhi,DL,110017,IN,28.528400,77.210600,1868.07,3657.0,SQFT,,2019,7
PROPERTY,ABC-COL-0015,MIXED_USE,SHOP,Ground floor retail shop,,Tower A,,115,,,215/1,,,PID-HR-2020-88015,PT-HR-9900015,REG/2018/100015,SD/2018/50015,2018-08-03,Sub-Registrar Sector 29 Gurugram,SELF_OCCUPIED,COMPLETED,"25, Sector 29 Main Road",,Sector 29,Opposite Sector 29 Bus Stand,Gurugram,Gurugram,HR,122002,IN,28.464500,77.031600,1841.36,2870.44,SQM,,2020,6
PROPERTY,ABC-COL-0016,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower B,,116,17,,,,,PID-HR-2021-88016,PT-HR-9900016,REG/2019/100016,SD/2019/50016,2019-11-10,Sub-Registrar Sector 15 Faridabad,RENTED,UNDER_CONSTRUCTION,"26, Sector 15 Main Road",Near Sector 15 Market,Sector 15,,Faridabad,Faridabad,HR,121002,IN,28.414900,77.323800,3003.25,597.79,SQFT,21,2021,5
PROPERTY,ABC-COL-0017,AGRICULTURAL,PLOT,Residential plot with demarcation,,,,,,Plot 17,117/C,,,PID-UP-2022-88017,PT-UP-9900017,REG/2020/100017,SD/2020/50017,2020-10-04,Sub-Registrar Sector 62 Noida,SELF_OCCUPIED,PLOT_ONLY,"27, Sector 62 Main Road",Near Sector 62 Market,Sector 62,Opposite Sector 62 Bus Stand,Noida,Gautam Buddha Nagar,UP,201301,IN,28.634000,77.371900,,13860.06,SQM,,2022,4
PROPERTY,ABC-COL-0018,AGRICULTURAL,PLOT,Residential plot with demarcation,,,,,,Plot 18,118/A,,,PID-UP-2023-88018,PT-UP-9900018,REG/2020/100018,SD/2020/50018,2020-11-28,Sub-Registrar Hazratganj Lucknow,VACANT,PLOT_ONLY,"28, Hazratganj Main Road",,Hazratganj,,Lucknow,Lucknow,UP,226001,IN,26.854700,80.954200,,8.3569,GUNTHA,,2005,21
PROPERTY,ABC-COL-0019,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,DLF Camellias,Tower E,Block 4,119,20,,,,,PID-WB-2024-88019,PT-WB-9900019,REG/2021/100019,SD/2021/50019,2021-08-08,Sub-Registrar Park Street Kolkata,UNDER_CONSTRUCTION,UNDER_CONSTRUCTION,"29, Park Street Main Road",Near Park Street Market,Park Street,Opposite Park Street Bus Stand,Kolkata,Kolkata,WB,700019,IN,22.560000,88.362000,2495.16,1833.2,SQM,24,2006,20
PROPERTY,ABC-COL-0020,COMMERCIAL,SHOP,Ground floor retail shop,,Tower A,,120,,,220/1,,,PID-GJ-2020-88020,PT-GJ-9900020,REG/2024/100020,SD/2024/50020,2024-05-30,Sub-Registrar Navrangpura Ahmedabad,VACANT,COMPLETED,"30, Navrangpura Main Road",Near Navrangpura Market,Navrangpura,,Ahmedabad,Ahmedabad,GJ,380015,IN,23.030000,72.560100,577.62,3353.68,SQM,,2007,19
PROPERTY,ABC-COL-0021,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Lodha Palava,Tower B,Block 2,121,2,,,,,PID-GJ-2021-88021,PT-GJ-9900021,REG/2018/100021,SD/2018/50021,2018-04-21,Sub-Registrar Adajan Surat,RENTED,COMPLETED,"31, Adajan Main Road",,Adajan,Opposite Adajan Bus Stand,Surat,Surat,GJ,395007,IN,21.196900,72.831200,1283.18,3617.83,SQM,26,2008,18
PROPERTY,ABC-COL-0022,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,Sobha Dream Acres,Tower C,Block 3,122,3,,,,,PID-GJ-2022-88022,PT-GJ-9900022,REG/2019/100022,SD/2019/50022,2019-02-19,Sub-Registrar Alkapuri Vadodara,RENTED,PLOT_ONLY,"32, Alkapuri Main Road",Near Alkapuri Market,Alkapuri,,Vadodara,Vadodara,GJ,390007,IN,22.309200,73.183200,1061.94,1743.5,SQFT,27,2009,17
PROPERTY,ABC-COL-0023,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Brigade Cornerstone Utopia,Tower D,Block 4,123,4,,,,,PID-RJ-2023-88023,PT-RJ-9900023,REG/2019/100023,SD/2019/50023,2019-11-19,Sub-Registrar C-Scheme Jaipur,VACANT,COMPLETED,"33, C-Scheme Main Road",Near C-Scheme Market,C-Scheme,Opposite C-Scheme Bus Stand,Jaipur,Jaipur,RJ,302001,IN,26.915400,75.790300,837.78,895.86,SQFT,28,2010,16
PROPERTY,ABC-COL-0024,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower E,,124,5,,,,,PID-RJ-2024-88024,PT-RJ-9900024,REG/2019/100024,SD/2019/50024,2019-11-06,Sub-Registrar Fatehpura Udaipur,UNDER_CONSTRUCTION,COMPLETED,"34, Fatehpura Main Road",,Fatehpura,,Udaipur,Udaipur,RJ,313001,IN,24.589400,73.716500,1720.28,324.39,SQM,29,2011,15
PROPERTY,ABC-COL-0025,INDUSTRIAL,WAREHOUSE,Industrial warehouse with loading bay,,,,,,Plot 25,225/1,,,PID-MP-2020-88025,PT-MP-9900025,REG/2020/100025,SD/2020/50025,2020-11-30,Sub-Registrar Vijay Nagar Indore,RENTED,COMPLETED,"35, Vijay Nagar Main Road",Near Vijay Nagar Market,Vijay Nagar,Opposite Vijay Nagar Bus Stand,Indore,Indore,MP,452001,IN,22.724600,75.862700,1247.64,4333.09,SQM,,2012,14
PROPERTY,ABC-COL-0026,RESIDENTIAL,VILLA,Independent villa with boundary wall,Puravankara Purva Park,,,,,Plot 26,,,,PID-MP-2021-88026,PT-MP-9900026,REG/2022/100026,SD/2022/50026,2022-04-21,Sub-Registrar Arera Colony Bhopal,RENTED,COMPLETED,"36, Arera Colony Main Road",Near Arera Colony Market,Arera Colony,,Bhopal,Bhopal,MP,462001,IN,23.265900,77.418600,1413.43,24489.64,SQFT,,2013,13
PROPERTY,ABC-COL-0027,RESIDENTIAL,VILLA,Independent villa with boundary wall,Embassy Lake Terraces,,,,,Plot 27,,,,PID-KL-2022-88027,PT-KL-9900027,REG/2023/100027,SD/2023/50027,2023-01-07,Sub-Registrar Kakkanad Kochi,VACANT,UNDER_CONSTRUCTION,"37, Kakkanad Main Road",,Kakkanad,Opposite Kakkanad Bus Stand,Kochi,Ernakulam,KL,682016,IN,9.988600,76.306900,567.99,22855.61,SQM,,2014,12
PROPERTY,ABC-COL-0028,RESIDENTIAL,PLOT,Residential plot with demarcation,,,,,,Plot 28,128/B,,,PID-CH-2023-88028,PT-CH-9900028,REG/2018/100028,SD/2018/50028,2018-02-15,Sub-Registrar Sector 17 Chandigarh,UNDER_CONSTRUCTION,PLOT_ONLY,"38, Sector 17 Main Road",Near Sector 17 Market,Sector 17,,Chandigarh,Chandigarh,CH,160017,IN,30.741300,76.787400,,17147.51,SQFT,,2015,11
PROPERTY,ABC-COL-0029,RESIDENTIAL,PLOT,Residential plot with demarcation,,,,,,Plot 29,129/C,,,PID-PB-2024-88029,PT-PB-9900029,REG/2017/100029,SD/2017/50029,2017-06-07,Sub-Registrar Model Town Ludhiana,SELF_OCCUPIED,PLOT_ONLY,"39, Model Town Main Road",Near Model Town Market,Model Town,Opposite Model Town Bus Stand,Ludhiana,Ludhiana,PB,141001,IN,30.910000,75.866300,,20365.84,SQFT,,2016,10
PROPERTY,ABC-COL-0030,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Raheja Viva,Tower A,Block 3,130,11,,230/1,,,PID-BR-2020-88030,PT-BR-9900030,REG/2019/100030,SD/2019/50030,2019-08-21,Sub-Registrar Boring Road Patna,UNDER_CONSTRUCTION,COMPLETED,"40, Boring Road Main Road",,Boring Road,,Patna,Patna,BR,800001,IN,25.594100,85.137600,3178.7,409.76,SQFT,10,2017,9
PROPERTY,ABC-COL-0031,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,Oberoi Springs,Tower B,Block 4,131,12,,,,,PID-JH-2021-88031,PT-JH-9900031,REG/2019/100031,SD/2019/50031,2019-11-26,Sub-Registrar Main Road Ranchi,VACANT,PLOT_ONLY,"41, Main Road Main Road",Near Main Road Market,Main Road,Opposite Main Road Bus Stand,Ranchi,Ranchi,JH,834001,IN,23.345100,85.310600,1453.26,2635.11,SQFT,11,2018,8
PROPERTY,ABC-COL-0032,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Hiranandani Gardens,Tower C,Block 1,132,13,,,,,PID-OD-2022-88032,PT-OD-9900032,REG/2022/100032,SD/2022/50032,2022-03-10,Sub-Registrar Saheed Nagar Bhubaneswar,VACANT,UNDER_CONSTRUCTION,"42, Saheed Nagar Main Road",Near Saheed Nagar Market,Saheed Nagar,,Bhubaneswar,Khordha,OD,751001,IN,20.298100,85.826500,2394.15,1654.39,SQM,12,2019,7
PROPERTY,ABC-COL-0033,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Shapoorji Pallonji Joyville,Tower D,Block 2,133,14,,,,,PID-AS-2023-88033,PT-AS-9900033,REG/2023/100033,SD/2023/50033,2023-05-20,Sub-Registrar Zoo Road Guwahati,VACANT,UNDER_CONSTRUCTION,"43, Zoo Road Main Road",,Zoo Road,Opposite Zoo Road Bus Stand,Guwahati,Kamrup Metropolitan,AS,781005,IN,26.147500,91.739200,782.48,3273.94,SQM,13,2020,6
PROPERTY,ABC-COL-0034,RESIDENTIAL,VILLA,Independent villa with boundary wall,Kalpataru Radiance,,,,,Plot 34,,,,PID-UK-2024-88034,PT-UK-9900034,REG/2023/100034,SD/2023/50034,2023-03-11,Sub-Registrar Rajpur Road Dehradun,RENTED,COMPLETED,"44, Rajpur Road Main Road",Near Rajpur Road Market,Rajpur Road,,Dehradun,Dehradun,UK,248001,IN,30.320500,78.036200,508.12,19167.44,SQM,,2021,5
PROPERTY,ABC-COL-0035,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower A,,135,16,,235/1,,,PID-GA-2020-88035,PT-GA-9900035,REG/2016/100035,SD/2016/50035,2016-10-08,Sub-Registrar Fontainhas Panaji,UNDER_CONSTRUCTION,UNDER_CONSTRUCTION,"45, Fontainhas Main Road",Near Fontainhas Market,Fontainhas,Opposite Fontainhas Bus Stand,Panaji,North Goa,GA,403001,IN,15.495900,73.832800,3179.39,3822.79,SQM,15,2022,4
PROPERTY,ABC-COL-0036,MIXED_USE,APARTMENT,2 BHK apartment in RERA registered project,Prestige Lakeside Habitat,Tower B,Block 1,136,17,,,,,PID-AP-2021-88036,PT-AP-9900036,REG/2018/100036,SD/2018/50036,2018-07-19,Sub-Registrar Dwaraka Nagar Visakhapatnam,UNDER_CONSTRUCTION,PLOT_ONLY,"46, Dwaraka Nagar Main Road",,Dwaraka Nagar,,Visakhapatnam,Visakhapatnam,AP,530003,IN,17.692800,83.224500,2290.22,3389.1,SQM,16,2005,21
PROPERTY,ABC-COL-0037,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,DLF Camellias,Tower C,Block 2,137,18,,,,,PID-AP-2022-88037,PT-AP-9900037,REG/2019/100037,SD/2019/50037,2019-04-20,Sub-Registrar Benz Circle Vijayawada,UNDER_CONSTRUCTION,COMPLETED,"47, Benz Circle Main Road",Near Benz Circle Market,Benz Circle,Opposite Benz Circle Bus Stand,Vijayawada,NTR,AP,520010,IN,16.513200,80.655000,2073.93,513.29,SQFT,17,2006,20
PROPERTY,ABC-COL-0038,AGRICULTURAL,LAND,Agricultural land with irrigation access,,,,,,Plot 38,138/C,,,PID-PB-2023-88038,PT-PB-9900038,REG/2020/100038,SD/2020/50038,2020-07-28,Sub-Registrar Lawrence Road Amritsar,UNDER_CONSTRUCTION,PLOT_ONLY,"48, Lawrence Road Main Road",Near Lawrence Road Market,Lawrence Road,,Amritsar,Amritsar,PB,143001,IN,31.642000,74.880300,,1503.56,SQFT,,2007,19
PROPERTY,ABC-COL-0039,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Lodha Palava,Tower E,Block 4,139,20,,,,,PID-MH-2024-88039,PT-MH-9900039,REG/2021/100039,SD/2021/50039,2021-10-28,Sub-Registrar College Road Nashik,UNDER_CONSTRUCTION,COMPLETED,"49, College Road Main Road",,College Road,Opposite College Road Bus Stand,Nashik,Nashik,MH,422002,IN,20.020000,73.799300,1550.63,1890.84,SQM,19,2008,18
PROPERTY,ABC-COL-0040,COMMERCIAL,SHOP,Ground floor retail shop,,Tower A,,140,,,240/1,,,PID-RJ-2020-88040,PT-RJ-9900040,REG/2022/100040,SD/2022/50040,2022-09-24,Sub-Registrar Ratanada Jodhpur,RENTED,UNDER_CONSTRUCTION,"50, Ratanada Main Road",Near Ratanada Market,Ratanada,,Jodhpur,Jodhpur,RJ,342001,IN,26.238900,73.024300,3145.76,290.83,SQFT,,2009,17
PROPERTY,ABC-COL-0041,INDUSTRIAL,WAREHOUSE,Industrial warehouse with loading bay,,,,,,Plot 41,,,,PID-PB-2021-88041,PT-PB-9900041,REG/2022/100041,SD/2022/50041,2022-06-13,Sub-Registrar Raikot Road Ludhiana Rural,SELF_OCCUPIED,COMPLETED,"51, Raikot Road Main Road",Near Raikot Road Market,Raikot Road,Opposite Raikot Road Bus Stand,Ludhiana Rural,Ludhiana,PB,141113,IN,30.824400,75.673100,3425.88,2797.41,SQFT,,2010,16
PROPERTY,ABC-COL-0042,INDUSTRIAL,WAREHOUSE,Industrial warehouse with loading bay,,,,,,Plot 42,,,,PID-RJ-2022-88042,PT-RJ-9900042,REG/2018/100042,SD/2018/50042,2018-05-26,Sub-Registrar Mundwa Road Nagaur,RENTED,UNDER_CONSTRUCTION,"52, Mundwa Road Main Road",,Mundwa Road,,Nagaur,Nagaur,RJ,341001,IN,27.204400,73.736400,624.61,615.31,SQFT,,2011,15
PROPERTY,ABC-COL-0043,COMMERCIAL,SHOP,Ground floor retail shop,,Tower D,,143,,,,CTS 443/4/2,,PID-MH-2023-88043,PT-MH-9900043,REG/2018/100043,SD/2018/50043,2018-04-18,Sub-Registrar Fort Mumbai,VACANT,PLOT_ONLY,"53, Fort Main Road",Near Fort Market,Fort,Opposite Fort Bus Stand,Mumbai,Mumbai City,MH,400001,IN,18.935200,72.834100,1631.51,1746.92,SQFT,,2012,14
PROPERTY,ABC-COL-0044,AGRICULTURAL,LAND,Agricultural land with irrigation access,,,,,,Plot 44,144/C,,,PID-MH-2024-88044,PT-MH-9900044,REG/2018/100044,SD/2018/50044,2018-10-03,Sub-Registrar Powai Mumbai,RENTED,PLOT_ONLY,"54, Powai Main Road",Near Powai Market,Powai,,Mumbai,Mumbai Suburban,MH,400076,IN,19.121600,72.910000,,7.17,ACRE,,2013,13
PROPERTY,ABC-COL-0045,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Embassy Lake Terraces,Tower A,Block 2,145,6,,245/1,CTS 445/6/1,,PID-MH-2020-88045,PT-MH-9900045,REG/2020/100045,SD/2020/50045,2020-03-28,Sub-Registrar Koregaon Park Pune,VACANT,PLOT_ONLY,"55, Koregaon Park Main Road",,Koregaon Park,Opposite Koregaon Park Bus Stand,Pune,Pune,MH,411014,IN,18.541200,73.900800,2151.8,1827.48,SQFT,25,2014,12
PROPERTY,ABC-COL-0046,COMMERCIAL,SHOP,Ground floor retail shop,,Tower B,,146,,,,CTS 446/7/2,,PID-MH-2021-88046,PT-MH-9900046,REG/2021/100046,SD/2021/50046,2021-08-18,Sub-Registrar Ghodbunder Road Thane,VACANT,UNDER_CONSTRUCTION,"56, Ghodbunder Road Main Road",Near Ghodbunder Road Market,Ghodbunder Road,,Thane,Thane,MH,400601,IN,19.224300,72.984100,3203.25,3884.82,SQFT,,2015,11
PROPERTY,ABC-COL-0047,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Adani Western Heights,Tower C,Block 4,147,8,,,,,PID-MH-2022-88047,PT-MH-9900047,REG/2022/100047,SD/2022/50047,2022-09-08,Sub-Registrar Dharampeth Nagpur,VACANT,UNDER_CONSTRUCTION,"57, Dharampeth Main Road",Near Dharampeth Market,Dharampeth,Opposite Dharampeth Bus Stand,Nagpur,Nagpur,MH,440010,IN,21.152800,79.095200,2945.36,1703.26,SQM,27,2016,10
PROPERTY,ABC-COL-0048,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Raheja Viva,Tower D,Block 1,148,9,,,,KH-560-800048,PID-KA-2023-88048,PT-KA-9900048,REG/2023/100048,SD/2023/50048,2023-01-18,Sub-Registrar HSR Layout Bengaluru,VACANT,COMPLETED,"58, HSR Layout Main Road",,HSR Layout,,Bengaluru,Bengaluru Urban,KA,560102,IN,12.919600,77.646900,795.11,3188.1,SQM,28,2017,9
PROPERTY,ABC-COL-0049,AGRICULTURAL,LAND,Agricultural land with irrigation access,,,,,,Plot 49,149/B,,KH-560-800049,PID-KA-2024-88049,PT-KA-9900049,REG/2017/100049,SD/2017/50049,2017-05-07,Sub-Registrar Whitefield Bengaluru,SELF_OCCUPIED,PLOT_ONLY,"59, Whitefield Main Road",Near Whitefield Market,Whitefield,Opposite Whitefield Bus Stand,Bengaluru,Bengaluru Urban,KA,560066,IN,12.978800,77.759000,,21194.39,SQFT,,2018,8
PROPERTY,ABC-COL-0050,COMMERCIAL,SHOP,Ground floor retail shop,,Tower A,,150,,,250/1,,KH-570-800050,PID-KA-2020-88050,PT-KA-9900050,REG/2017/100050,SD/2017/50050,2017-06-16,Sub-Registrar Vijayanagar Mysuru,SELF_OCCUPIED,COMPLETED,"60, Vijayanagar Main Road",Near Vijayanagar Market,Vijayanagar,,Mysuru,Mysuru,KA,570001,IN,12.295800,76.639400,2839.56,2607.83,SQFT,,2019,7
PROPERTY,ABC-COL-0051,AGRICULTURAL,PLOT,Residential plot with demarcation,,,,,,Plot 51,151/A,,,PID-TN-2021-88051,PT-TN-9900051,REG/2018/100051,SD/2018/50051,2018-02-26,Sub-Registrar Adyar Chennai,UNDER_CONSTRUCTION,PLOT_ONLY,"61, Adyar Main Road",,Adyar,Opposite Adyar Bus Stand,Chennai,Chennai,TN,600028,IN,13.007700,80.258200,,11.6928,GUNTHA,,2020,6
PROPERTY,ABC-COL-0052,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,Kalpataru Radiance,Tower C,Block 1,152,13,,,,,PID-TN-2022-88052,PT-TN-9900052,REG/2020/100052,SD/2020/50052,2020-06-25,Sub-Registrar RS Puram Coimbatore,UNDER_CONSTRUCTION,COMPLETED,"62, RS Puram Main Road",Near RS Puram Market,RS Puram,,Coimbatore,Coimbatore,TN,641002,IN,11.007600,76.968100,1996.36,4919.8,SQFT,7,2021,5
PROPERTY,ABC-COL-0053,AGRICULTURAL,LAND,Agricultural land with irrigation access,,,,,,Plot 53,153/C,,,PID-TS-2023-88053,PT-TS-9900053,REG/2021/100053,SD/2021/50053,2021-07-28,Sub-Registrar Gachibowli Hyderabad,UNDER_CONSTRUCTION,PLOT_ONLY,"63, Gachibowli Main Road",Near Gachibowli Market,Gachibowli,Opposite Gachibowli Bus Stand,Hyderabad,Hyderabad,TS,500032,IN,17.443100,78.351900,,10.8507,GUNTHA,,2022,4
